Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
56,2280,0.36582261323928833,0.3370584547519684,0.3352605700492859,0.30595695972442627,40,27.776365710626596,espresso,0.6379503607749939,cup,0.05600409582257271,plate,0.013941318728029728,coffeepot,0.007734932471066713,bagel,0.0038022215012460947,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
57,2320,0.36270415782928467,0.339500367641449,0.33843082189559937,0.3160002827644348,40,27.501739410616594,espresso,0.6409991979598999,cup,0.06051075831055641,plate,0.012080748565495014,coffeepot,0.007107004057615995,bagel,0.0037593164015561342,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
58,2360,0.3700140714645386,0.3475412428379059,0.348785936832428,0.3197948932647705,40,29.131640799534782,espresso,0.633833646774292,cup,0.06205562874674797,plate,0.011602581478655338,coffeepot,0.007568233646452427,bagel,0.0038353281561285257,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
59,2400,0.37515687942504883,0.35205960273742676,0.35222047567367554,0.3255811333656311,40,29.60209939876736,espresso,0.6286667585372925,cup,0.06731124967336655,plate,0.011931528337299824,coffeepot,0.007325143087655306,bagel,0.003825153922662139,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
60,2440,0.3804684281349182,0.3546448349952698,0.3538391590118408,0.33177119493484497,40,29.47526314379846,espresso,0.6235206723213196,cup,0.05773581564426422,plate,0.012842986732721329,coffeepot,0.007388569880276918,bagel,0.00397220766171813,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
61,2480,0.38268381357192993,0.35829657316207886,0.3581801652908325,0.3327087163925171,40,30.735726000306286,espresso,0.6212370991706848,cup,0.06445834040641785,plate,0.013566029258072376,coffeepot,0.007024562917649746,chocolate_sauce,0.003941022325307131,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
62,2520,0.3822753429412842,0.3617734909057617,0.3621034324169159,0.33193260431289673,40,30.482203181133695,espresso,0.6213429570198059,cup,0.06444144248962402,plate,0.01230558194220066,coffeepot,0.007385394535958767,eggnog,0.0036362656392157078,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
63,2560,0.3844844102859497,0.3646737039089203,0.36473292112350464,0.34393876791000366,40,30.93003501216312,espresso,0.619457483291626,cup,0.06607753783464432,plate,0.012850931845605373,coffeepot,0.007518158759921789,wooden_spoon,0.003947391640394926,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
64,2600,0.39331483840942383,0.3693923056125641,0.3698302209377289,0.34704679250717163,40,31.747553174460165,espresso,0.6109852194786072,cup,0.06566137820482254,plate,0.013897114433348179,coffeepot,0.008053682744503021,wooden_spoon,0.004315490368753672,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
65,2640,0.3923313617706299,0.37210601568222046,0.3730563223361969,0.3504657745361328,40,31.03642527935212,espresso,0.6115656495094299,cup,0.0658801794052124,plate,0.013365708291530609,coffeepot,0.007388971745967865,eggnog,0.0038585530128329992,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
66,2680,0.3985316753387451,0.37013134360313416,0.3721441328525543,0.34659087657928467,40,31.143808908774357,espresso,0.6054138541221619,cup,0.06506218016147614,plate,0.011940587311983109,coffeepot,0.007865280844271183,bagel,0.003949103876948357,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
67,2720,0.4052831530570984,0.37361758947372437,0.37100493907928467,0.3548056483268738,40,31.47682573180307,espresso,0.5987205505371094,cup,0.06515796482563019,plate,0.01305820606648922,coffeepot,0.00798960030078888,bagel,0.00401955796405673,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
